pid,lot_frontage,lot_area,mas_vnr_area,bsmtfin_sf_1,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,1st_flr_sf,flr2nd_sf,low_qual_fin_sf,gr_liv_area,garage_area,wood_deck_sf,open_porch_sf,enclosed_porch,ssn3_porch,screen_porch,pool_area,misc_val
902301120,69.0,9142,0.0,0,0,1020,1020,908,1020,0,1928,440,0,60,112,0,0,0,0
905108090,69.0,9662,0.0,0,0,1967,1967,1967,0,0,1967,580,170,0,0,0,0,0,0
528218130,58.0,17104,0.0,554,0,100,654,664,832,0,1496,426,100,24,0,0,0,0,0
902207150,60.0,8520,0.0,0,0,968,968,968,0,0,968,480,0,0,184,0,0,0,0
535105100,60.0,9500,247.0,609,0,785,1394,1394,0,0,1394,514,0,76,0,0,185,0,0
923228370,21.0,1890,0.0,294,0,252,546,546,546,0,1092,286,0,0,64,0,0,0,0
902427150,52.0,8516,0.0,0,0,869,869,1093,0,0,1093,308,0,0,0,0,0,0,0
907202130,52.0,9286,0.0,196,0,1072,1268,1268,0,0,1268,252,173,0,0,0,0,0,0
533208090,39.0,3515,0.0,0,0,840,840,840,840,0,1680,588,0,111,0,0,0,0,0
914476010,75.0,10125,0.0,641,279,276,1196,1279,0,0,1279,473,238,83,0,0,0,0,0
531452100,50.0,7175,0.0,278,0,939,1217,1217,0,0,1217,484,0,64,0,0,0,0,0
903455140,60.0,7200,0.0,0,0,1040,1040,1040,0,0,1040,320,0,132,0,0,0,0,0
535303050,75.0,11310,0.0,0,0,1367,1367,1375,0,0,1375,451,0,30,0,0,0,0,0
906230030,75.0,7976,23.0,820,0,348,1168,1168,1619,0,2787,820,312,0,0,0,0,0,0
903206160,69.0,11737,0.0,0,0,848,848,1017,810,0,1827,240,27,36,42,0,0,0,0
905480180,60.0,9060,98.0,0,0,0,0,1340,0,0,1340,252,116,0,0,180,0,0,0
902128150,60.0,10800,0.0,590,0,294,884,884,552,0,1436,828,0,0,126,0,0,0,0
905451300,68.0,9571,0.0,257,0,816,1073,1073,0,0,1073,340,0,0,0,0,0,0,0
535425040,80.0,10800,104.0,913,0,400,1313,1773,0,0,1773,418,355,98,0,0,144,0,0
902330040,121.0,17671,0.0,216,0,700,916,916,826,0,1742,424,0,169,0,0,0,0,0
905105070,121.0,8246,0.0,188,668,204,1060,1060,0,0,1060,270,406,90,0,0,0,0,0
532354160,50.0,8499,0.0,660,0,204,864,864,0,0,864,732,0,312,0,0,0,0,0
531451020,50.0,8012,0.0,165,841,598,1604,1617,0,0,1617,533,0,69,0,0,0,0,0
906475050,50.0,21453,0.0,938,0,0,938,988,0,0,988,540,0,130,0,130,0,0,0
531363010,80.0,9605,0.0,0,0,1218,1218,1218,0,0,1218,576,0,178,0,0,0,0,0
907227050,60.0,7180,0.0,390,0,474,864,864,0,0,864,352,0,0,0,0,0,0,0
535150070,60.0,12513,0.0,0,0,715,715,1281,457,0,1738,368,55,0,0,0,0,0,0
902125020,50.0,9000,0.0,0,0,636,636,1089,661,0,1750,240,0,0,293,0,0,0,0
534425310,80.0,8800,156.0,763,0,173,936,1054,0,0,1054,480,120,0,0,0,0,0,0
534451020,51.0,3500,0.0,144,0,226,370,442,228,0,670,0,0,21,0,0,0,0,2000
527404150,51.0,7340,0.0,322,0,536,858,858,0,0,858,684,0,0,0,0,0,0,0
903458170,52.0,6240,0.0,152,0,628,780,848,0,360,1208,539,0,23,112,0,0,0,0
902326030,65.0,11700,0.0,0,0,1240,1240,1320,1320,0,2640,864,181,0,386,0,0,0,0
527378020,80.0,10000,0.0,1084,0,92,1176,1178,0,0,1178,439,224,0,0,0,0,0,0
907196060,75.0,11166,180.0,24,0,1468,1492,1492,0,0,1492,608,0,114,0,0,168,0,0
528218100,58.0,13204,44.0,0,0,608,608,608,850,0,1458,454,100,33,0,0,0,0,0
902103090,60.0,5520,0.0,284,0,863,1147,1147,510,0,1657,162,0,0,0,0,0,0,0
905228020,60.0,9000,0.0,0,0,0,0,998,0,0,998,460,0,0,140,0,0,0,0
535451010,74.0,8892,0.0,0,0,105,105,910,0,0,910,414,196,0,150,0,0,0,0
533242080,73.0,7321,0.0,0,0,1339,1339,1358,0,0,1358,625,176,174,0,0,0,0,0
533210010,40.0,3951,76.0,0,0,612,612,612,612,0,1224,528,0,234,0,0,0,0,0
528280100,40.0,11214,0.0,0,0,930,930,956,930,0,1886,431,89,0,0,0,0,0,0
534427140,75.0,7388,0.0,405,0,658,1063,1327,0,0,1327,624,0,0,0,0,0,0,0
535351050,75.0,14559,70.0,650,180,178,1008,1363,0,0,1363,288,324,42,0,0,168,0,2000
916226090,46.0,4054,352.0,949,0,552,1501,1501,0,0,1501,512,240,0,0,0,0,0,0
923228150,21.0,1533,0.0,0,0,546,546,798,546,0,1344,0,0,0,0,0,0,0,0
907196050,68.0,11250,162.0,486,0,434,920,920,866,0,1786,608,0,42,0,0,0,0,0
531479030,60.0,7800,0.0,641,0,187,828,965,0,0,965,300,421,0,0,0,0,0,0
535350040,74.0,5868,0.0,248,240,448,936,936,0,0,936,308,0,0,80,0,160,0,0
532377100,75.0,7500,0.0,824,0,216,1040,1040,0,0,1040,308,0,0,220,0,0,0,0
902427040,52.0,9439,0.0,324,0,588,912,912,336,0,1248,160,0,0,192,0,0,0,0
902329030,50.0,9000,0.0,0,0,346,346,1157,1111,0,2268,624,0,108,0,0,0,0,0
906380030,65.0,9345,156.0,0,0,1615,1615,1615,0,0,1615,864,168,30,0,0,0,0,0
903455090,60.0,7200,0.0,0,0,803,803,803,557,0,1360,297,0,65,190,0,0,0,0
903228070,60.0,6000,444.0,220,0,248,468,822,320,0,1142,320,0,0,98,0,0,0,0
527403040,61.0,7930,0.0,439,472,115,1026,1026,0,0,1026,440,171,48,0,0,0,0,0
903401020,60.0,9120,0.0,329,0,697,1026,1133,687,0,1820,240,0,100,0,0,0,0,0
534252040,60.0,9503,0.0,457,374,193,1024,1344,0,0,1344,484,316,28,0,0,0,0,0
527375210,85.0,11050,0.0,636,0,540,1176,1193,0,0,1193,506,40,0,0,0,0,0,0
907253060,85.0,10316,0.0,735,0,257,992,992,873,0,1865,839,0,184,0,0,0,0,0
528346050,136.0,11675,495.0,1660,0,322,1982,2006,0,0,2006,938,144,33,0,0,0,0,0
905200100,60.0,12900,0.0,1300,0,0,1300,1140,0,0,1140,400,0,0,190,0,0,0,0
905226170,85.0,13770,340.0,190,873,95,1158,1176,0,0,1176,303,0,0,0,0,0,0,0
534250335,85.0,13355,0.0,583,0,242,825,845,825,0,1670,464,0,0,0,0,0,0,0
531450040,65.0,7153,0.0,387,0,374,761,810,793,0,1603,484,0,124,0,0,0,0,0
528363050,65.0,10750,634.0,236,1526,262,2024,2063,0,0,2063,815,182,56,0,0,0,0,0
527403120,34.0,8125,0.0,614,0,244,858,858,0,0,858,0,0,0,0,0,0,0,0
528174030,34.0,3903,182.0,1030,0,272,1302,1302,0,0,1302,631,110,50,0,0,0,0,0
908226180,70.0,4270,0.0,544,0,0,544,774,0,0,774,0,0,0,286,0,0,0,0
907425015,70.0,4426,147.0,697,0,151,848,848,0,0,848,420,149,0,0,0,0,0,0
534451130,52.0,5825,108.0,0,0,600,600,747,0,0,747,528,0,0,32,0,0,0,0
528118060,59.0,23303,20.0,1230,0,278,1508,1508,1012,0,2520,640,192,273,0,0,0,0,0
909428180,59.0,25485,423.0,540,1020,0,1560,1560,0,0,1560,580,0,75,584,0,0,0,0
527165020,59.0,10784,76.0,0,0,384,384,802,670,0,1472,402,164,0,0,0,0,0,0
527404030,100.0,8510,178.0,500,0,543,1043,1050,0,0,1050,336,0,0,0,0,0,0,0
534129080,100.0,17871,359.0,528,0,1152,1680,1724,0,0,1724,480,0,0,0,0,0,0,0
923202060,100.0,21750,75.0,0,0,0,0,1771,0,0,1771,336,0,0,0,0,0,0,0
535402230,77.0,9510,161.0,701,0,434,1135,1207,0,0,1207,264,0,240,0,0,0,0,0
534276290,77.0,8339,0.0,0,0,0,0,882,0,0,882,294,0,0,0,0,0,0,1200
528150090,131.0,14828,674.0,1383,0,397,1780,1780,0,0,1780,816,144,68,0,0,0,0,0
907260040,70.0,8749,100.0,0,0,1459,1459,1459,0,0,1459,527,192,39,0,0,0,0,0
910205120,50.0,9140,0.0,308,0,321,629,727,380,0,1107,625,0,56,0,0,200,0,0
902305010,60.0,3600,0.0,316,0,371,687,687,671,0,1358,336,0,32,0,0,0,0,0
908102020,67.0,8777,0.0,173,337,166,676,760,676,0,1436,528,147,0,0,0,0,0,420
906476030,79.0,12798,0.0,462,0,154,616,616,1072,0,1688,603,403,114,185,0,0,0,400
528108020,98.0,12704,306.0,0,0,2042,2042,2042,0,0,2042,1390,0,90,0,0,0,0,0
907203070,68.0,7480,0.0,480,0,396,876,876,0,0,876,484,0,0,0,0,0,0,0
534251030,68.0,16500,509.0,962,0,270,1232,1320,0,0,1320,495,0,20,0,0,0,0,0
916326010,60.0,16669,653.0,0,0,1686,1686,1707,0,0,1707,511,574,64,0,0,0,0,0
535454160,60.0,8064,0.0,120,0,744,864,1064,0,431,1495,576,180,36,0,0,0,0,0
